user_style_id,user_style,social_event_style_id,social_event_style,match_rate
0,Rock,0,Rock,100
0,Rock,1,Pop,50
0,Rock,2,Indie,70
0,Rock,3,Electro,30
0,Rock,4,Techno,20
0,Rock,5,Heavy,90
0,Rock,6,Rap,50
0,Rock,7,Reggae,70
0,Rock,8,Classical,60
0,Rock,9,Folk,70
1,Pop,0,Rock,70
1,Pop,1,Pop,100
1,Pop,2,Indie,80
1,Pop,3,Electro,70
1,Pop,4,Techno,30
1,Pop,5,Heavy,20
1,Pop,6,Rap,50
1,Pop,7,Reggae,60
1,Pop,8,Classical,70
1,Pop,9,Folk,60
2,Indie,0,Rock,90
2,Indie,1,Pop,60
2,Indie,2,Indie,100
2,Indie,3,Electro,30
2,Indie,4,Techno,20
2,Indie,5,Heavy,50
2,Indie,6,Rap,40
2,Indie,7,Reggae,70
2,Indie,8,Classical,60
2,Indie,9,Folk,70
3,Electro,0,Rock,30
3,Electro,1,Pop,50
3,Electro,2,Indie,40
3,Electro,3,Electro,100
3,Electro,4,Techno,90
3,Electro,5,Heavy,30
3,Electro,6,Rap,50
3,Electro,7,Reggae,40
3,Electro,8,Classical,50
3,Electro,9,Folk,40
4,Techno,0,Rock,40
4,Techno,1,Pop,60
4,Techno,2,Indie,40
4,Techno,3,Electro,90
4,Techno,4,Techno,100
4,Techno,5,Heavy,20
4,Techno,6,Rap,30
4,Techno,7,Reggae,50
4,Techno,8,Classical,40
4,Techno,9,Folk,50
5,Heavy,0,Rock,90
5,Heavy,1,Pop,40
5,Heavy,2,Indie,60
5,Heavy,3,Electro,30
5,Heavy,4,Techno,10
5,Heavy,5,Heavy,100
5,Heavy,6,Rap,30
5,Heavy,7,Reggae,20
5,Heavy,8,Classical,30
5,Heavy,9,Folk,40
6,Rap,0,Rock,60
6,Rap,1,Pop,50
6,Rap,2,Indie,40
6,Rap,3,Electro,70
6,Rap,4,Techno,60
6,Rap,5,Heavy,10
6,Rap,6,Rap,100
6,Rap,7,Reggae,10
6,Rap,8,Classical,20
6,Rap,9,Folk,30
7,Reggae,0,Rock,70
7,Reggae,1,Pop,60
7,Reggae,2,Indie,50
7,Reggae,3,Electro,40
7,Reggae,4,Techno,30
7,Reggae,5,Heavy,20
7,Reggae,6,Rap,10
7,Reggae,7,Reggae,100
7,Reggae,8,Classical,50
7,Reggae,9,Folk,60
8,Classical,0,Rock,80
8,Classical,1,Pop,70
8,Classical,2,Indie,60
8,Classical,3,Electro,50
8,Classical,4,Techno,40
8,Classical,5,Heavy,30
8,Classical,6,Rap,20
8,Classical,7,Reggae,10
8,Classical,8,Classical,100
8,Classical,9,Folk,80
9,Folk,0,Rock,90
9,Folk,1,Pop,80
9,Folk,2,Indie,70
9,Folk,3,Electro,60
9,Folk,4,Techno,50
9,Folk,5,Heavy,40
9,Folk,6,Rap,30
9,Folk,7,Reggae,20
9,Folk,8,Classical,90
9,Folk,9,Folk,100